"","row","max_row","tournamentNumber","seasonYear","courseNumber","roundNumber","holeNumber","groupId","playerId","shotNumber","kind","timeInterval","validTimeInterval","measuredTimeInterval","xFit","yFit","zFit","spinRateFit"
"182",2,5,"047","2021","538",1,16,1,"29461",1,"Flight",2.992,3.548,2.56228,78.5161,15.03,-3.49698,-491.994
"183",3,5,"047","2021","538",1,16,1,"29461",1,"Flight",4.488,5.322,3.84342,-12.6893,-0.225872,0.0916883,132.445
"184",4,5,"047","2021","538",1,16,1,"29461",1,"Flight",5.984,7.096,5.12456,2.01285,-0.468591,0.0134729,8.42721
"185",5,5,"047","2021","538",1,16,1,"29461",1,"Flight",7.48,8.87,6.4057,-0.215112,0.0335509,-0.00531021,-1.70386
"186",1,5,"047","2021","538",1,16,1,"31560",1,"Flight",0,0,0,-0.0105287,-4.61935e-15,-0.507792,-3.81592
"187",2,5,"047","2021","538",1,16,1,"31560",1,"Flight",2.568,3.044,2.498604,71.0789,16.9317,4.25686,27.3668
"188",3,5,"047","2021","538",1,16,1,"31560",1,"Flight",3.852,4.566,3.747906,-10.9015,-1.95378,-1.00474,-24.8669
"189",4,5,"047","2021","538",1,16,1,"31560",1,"Flight",5.136,6.088,4.997208,1.97795,0.00970076,0.168875,6.54419
"190",5,5,"047","2021","538",1,16,1,"31560",1,"Flight",6.42,7.61,6.24651,-0.275479,-0.0464391,-0.0201136,-0.474109
"191",1,5,"047","2021","538",1,16,1,"46441",1,"Flight",0,0,0,0.230756,-1.03403e-15,1.33209,-6.11451
"192",2,5,"047","2021","538",1,16,1,"46441",1,"Flight",2.72,3.184,2.65258,74.9178,15.5851,-4.29619,33.7013
"193",3,5,"047","2021","538",1,16,1,"46441",1,"Flight",4.08,4.776,3.97887,-11.7557,-1.38463,1.87515,-26.5208
"194",4,5,"047","2021","538",1,16,1,"46441",1,"Flight",5.44,6.368,5.30516,2.01433,0.0367067,-0.316558,6.25454
"195",5,5,"047","2021","538",1,16,1,"46441",1,"Flight",6.8,7.96,6.63145,-0.269986,-0.0611726,0.0366078,-0.418125
"196",1,5,"047","2021","538",1,17,1,"29461",1,"Flight",0,0,0,-0.376306,-4.22547e-15,0.317083,-6912.31
"197",2,5,"047","2021","538",1,17,1,"29461",1,"Flight",2.756,3.32,2.906436,58.9774,15.341,2.47952,28863.9
"198",3,5,"047","2021","538",1,17,1,"29461",1,"Flight",4.134,4.98,4.359654,-11.8749,0.365369,-2.03254,-19377.7
"199",4,5,"047","2021","538",1,17,1,"29461",1,"Flight",5.512,6.64,5.812872,1.88652,-0.721906,0.5262,4010.21
"200",5,5,"047","2021","538",1,17,1,"29461",1,"Flight",6.89,8.3,7.26609,-0.185105,0.0440639,-0.0771251,-241.758
"201",1,5,"047","2021","538",1,17,1,"31560",1,"Flight",0,0,0,-0.472738,-6.30554e-15,-2.17713,-730.143
"202",2,5,"047","2021","538",1,17,1,"31560",1,"Flight",2.552,3.144,2.68698,55.5682,13.8023,7.84901,3607.16
